aeso_price,year,month,hour,day
22.6,2017,Sep,11,21
24.24,2017,Sep,12,21
22.67,2017,Sep,13,21
23.38,2017,Sep,14,21
21.14,2017,Sep,15,21
20.45,2017,Sep,16,21
20.43,2017,Sep,17,21
20.43,2017,Sep,18,21
20.43,2017,Sep,19,21
26.8,2017,Sep,20,21
27.77,2017,Sep,21,21
27.79,2017,Sep,22,21
26.11,2017,Sep,23,21
22.24,2017,Sep,0,22
21.97,2017,Sep,1,22
20.42,2017,Sep,2,22
20.92,2017,Sep,3,22
20.63,2017,Sep,4,22
20.43,2017,Sep,5,22
20.82,2017,Sep,6,22
23.44,2017,Sep,7,22
22.18,2017,Sep,8,22
22.15,2017,Sep,9,22
32.92,2017,Sep,10,22
46.76,2017,Sep,11,22
38.18,2017,Sep,12,22
26.01,2017,Sep,13,22
23.7,2017,Sep,14,22
27.77,2017,Sep,15,22
27.77,2017,Sep,16,22
27.77,2017,Sep,17,22
24.36,2017,Sep,18,22
25.34,2017,Sep,19,22
27.77,2017,Sep,20,22
27.77,2017,Sep,21,22
25.99,2017,Sep,22,22
21.46,2017,Sep,23,22
27.1,2017,Sep,0,23
25.52,2017,Sep,1,23
22.36,2017,Sep,2,23
26.51,2017,Sep,3,23
21.87,2017,Sep,4,23
21.68,2017,Sep,5,23
24.1,2017,Sep,6,23
27.33,2017,Sep,7,23
22.29,2017,Sep,8,23
21.96,2017,Sep,9,23
29.58,2017,Sep,10,23
27.77,2017,Sep,11,23
27.77,2017,Sep,12,23
27.77,2017,Sep,13,23
27.77,2017,Sep,14,23
27.77,2017,Sep,15,23
27.77,2017,Sep,16,23
27.77,2017,Sep,17,23
25.35,2017,Sep,18,23
20.8,2017,Sep,19,23
23.07,2017,Sep,20,23
27.77,2017,Sep,21,23
25.04,2017,Sep,22,23
23.82,2017,Sep,23,23
23.61,2017,Sep,0,24
22.23,2017,Sep,1,24
20.42,2017,Sep,2,24
20.43,2017,Sep,3,24
20.42,2017,Sep,4,24
20.42,2017,Sep,5,24
